,Conteo,Media,Desv. Estándar,Mínimo,Q1 (25%),Mediana (50%),Q3 (75%),Máximo
Remesas_Millones_USD,420.0,307.29,206.34,53.1,121.28,285.94,401.91,961.12
Remesas_Lag1,419.0,305.73,204.09,53.1,121.05,285.19,400.05,899.08
Remesas_Lag2,418.0,304.52,202.8,53.1,120.82,285.05,397.49,899.08
Remesas_Lag3,417.0,303.2,201.25,53.1,120.6,284.91,395.0,899.08
Remesas_Lag12,408.0,291.85,187.92,53.1,118.8,281.48,380.38,832.73
Desempleo_Hispano_US,420.0,7.61,2.56,3.9,5.5,7.1,9.6,18.9
Desempleo_General_US,420.0,5.68,1.76,3.4,4.3,5.3,6.62,14.8
Salario_Promedio_US,420.0,18.46,5.75,10.37,13.63,18.07,21.9,31.83
Inflacion_CPI_US,420.0,212.53,50.68,134.7,168.02,212.71,244.0,326.03
PIB_US,420.0,15289.96,6680.0,6035.18,9846.78,14586.16,19319.72,31422.53
Inflacion_ES,420.0,4.14,4.41,-0.73,1.01,2.55,5.13,18.51
PIB_ES,420.0,18416445351.43,8559529117.76,5252342400.0,11284197000.0,17601620000.0,24921190000.0,36708110000.0
Deportaciones_Total,420.0,10686.62,7510.77,1900.0,4193.83,7297.0,18685.54,26678.0
Dummy_Crisis,420.0,0.11,0.32,0.0,0.0,0.0,0.0,1.0
Dummy_Covid,420.0,0.09,0.28,0.0,0.0,0.0,0.0,1.0
